"date","geography","SIP"
2020-05-13,"Brazil",1
2020-05-14,"Brazil",1
2020-05-15,"Brazil",1
2020-05-16,"Brazil",1
2020-05-17,"Brazil",1
2020-05-18,"Brazil",1
2020-05-19,"Brazil",0
2020-05-20,"Brazil",0
2020-05-21,"Brazil",0
2020-05-22,"Brazil",0
2020-05-23,"Brazil",0
2020-05-24,"Brazil",0
2020-05-25,"Brazil",0
2020-05-26,"Brazil",0
2020-05-27,"Brazil",0
2020-05-28,"Brazil",0
2020-05-29,"Brazil",0
2020-05-30,"Brazil",0
2020-05-31,"Brazil",0
2020-02-15,"British Columbia",0
2020-02-16,"British Columbia",0
2020-02-17,"British Columbia",0
2020-02-18,"British Columbia",0
2020-02-19,"British Columbia",0
2020-02-20,"British Columbia",0
2020-02-21,"British Columbia",0
2020-02-22,"British Columbia",0
2020-02-23,"British Columbia",0
2020-02-24,"British Columbia",0
2020-02-25,"British Columbia",0
2020-02-26,"British Columbia",0
2020-02-27,"British Columbia",0
2020-02-28,"British Columbia",0
2020-02-29,"British Columbia",0
2020-03-01,"British Columbia",0
2020-03-02,"British Columbia",0
2020-03-03,"British Columbia",0
2020-03-04,"British Columbia",0
2020-03-05,"British Columbia",0
2020-03-06,"British Columbia",0
2020-03-07,"British Columbia",0
2020-03-08,"British Columbia",0
2020-03-09,"British Columbia",0
2020-03-10,"British Columbia",0
2020-03-11,"British Columbia",0
2020-03-12,"British Columbia",0
2020-03-13,"British Columbia",0
2020-03-14,"British Columbia",0
2020-03-15,"British Columbia",0
2020-03-16,"British Columbia",1
2020-03-17,"British Columbia",1
2020-03-18,"British Columbia",1
2020-03-19,"British Columbia",1
2020-03-20,"British Columbia",1
2020-03-21,"British Columbia",1
2020-03-22,"British Columbia",1
2020-03-23,"British Columbia",1
2020-03-24,"British Columbia",2
2020-03-25,"British Columbia",2
2020-03-26,"British Columbia",2
2020-03-27,"British Columbia",2
2020-03-28,"British Columbia",2
2020-03-29,"British Columbia",2
2020-03-30,"British Columbia",2
2020-03-31,"British Columbia",2
2020-04-01,"British Columbia",2
2020-04-02,"British Columbia",2
2020-04-03,"British Columbia",2
2020-04-04,"British Columbia",2
2020-04-05,"British Columbia",2
2020-04-06,"British Columbia",2
2020-04-07,"British Columbia",2
2020-04-08,"British Columbia",2
2020-04-09,"British Columbia",2
2020-04-10,"British Columbia",2
2020-04-11,"British Columbia",2
2020-04-12,"British Columbia",2
2020-04-13,"British Columbia",2
2020-04-14,"British Columbia",2
2020-04-15,"British Columbia",2
2020-04-16,"British Columbia",2
2020-04-17,"British Columbia",2
2020-04-18,"British Columbia",2
2020-04-19,"British Columbia",2
2020-04-20,"British Columbia",2
2020-04-21,"British Columbia",2
2020-04-22,"British Columbia",2
2020-04-23,"British Columbia",2
2020-04-24,"British Columbia",2
2020-04-25,"British Columbia",2
2020-04-26,"British Columbia",2
2020-04-27,"British Columbia",2
2020-04-28,"British Columbia",2
2020-04-29,"British Columbia",2
2020-04-30,"British Columbia",2
2020-05-01,"British Columbia",2
2020-05-02,"British Columbia",2
2020-05-03,"British Columbia",2
2020-05-04,"British Columbia",1
2020-05-05,"British Columbia",1
2020-05-06,"British Columbia",1
2020-05-07,"British Columbia",1
2020-05-08,"British Columbia",1
2020-05-09,"British Columbia",1
2020-05-10,"British Columbia",1
2020-05-11,"British Columbia",1
2020-05-12,"British Columbia",1
2020-05-13,"British Columbia",1
2020-05-14,"British Columbia",1
2020-05-15,"British Columbia",1
2020-05-16,"British Columbia",1
2020-05-17,"British Columbia",1
2020-05-18,"British Columbia",1
2020-05-19,"British Columbia",1
2020-05-20,"British Columbia",1
2020-05-21,"British Columbia",1
2020-05-22,"British Columbia",1
2020-05-23,"British Columbia",1
2020-05-24,"British Columbia",1
2020-05-25,"British Columbia",1
2020-05-26,"British Columbia",1
2020-05-27,"British Columbia",1
2020-05-28,"British Columbia",1
2020-05-29,"British Columbia",1
2020-05-30,"British Columbia",1
2020-05-31,"British Columbia",1
2020-02-15,"Bulgaria",0
2020-02-16,"Bulgaria",0
2020-02-17,"Bulgaria",0
2020-02-18,"Bulgaria",0
2020-02-19,"Bulgaria",0
2020-02-20,"Bulgaria",0
2020-02-21,"Bulgaria",0
2020-02-22,"Bulgaria",0
2020-02-23,"Bulgaria",0
2020-02-24,"Bulgaria",0
2020-02-25,"Bulgaria",0
2020-02-26,"Bulgaria",0
2020-02-27,"Bulgaria",0
2020-02-28,"Bulgaria",0
2020-02-29,"Bulgaria",0
2020-03-01,"Bulgaria",0
2020-03-02,"Bulgaria",0
2020-03-03,"Bulgaria",0
2020-03-04,"Bulgaria",0
2020-03-05,"Bulgaria",0
2020-03-06,"Bulgaria",0
2020-03-07,"Bulgaria",0
2020-03-08,"Bulgaria",1
2020-03-09,"Bulgaria",1
2020-03-10,"Bulgaria",1
2020-03-11,"Bulgaria",1
2020-03-12,"Bulgaria",1
2020-03-13,"Bulgaria",2
2020-03-14,"Bulgaria",2
2020-03-15,"Bulgaria",2
2020-03-16,"Bulgaria",2
2020-03-17,"Bulgaria",2
2020-03-18,"Bulgaria",2
2020-03-19,"Bulgaria",2
2020-03-20,"Bulgaria",2
2020-03-21,"Bulgaria",2
2020-03-22,"Bulgaria",2
2020-03-23,"Bulgaria",2
2020-03-24,"Bulgaria",2
2020-03-25,"Bulgaria",2
2020-03-26,"Bulgaria",2
2020-03-27,"Bulgaria",2
2020-03-28,"Bulgaria",2
2020-03-29,"Bulgaria",2
2020-03-30,"Bulgaria",2
2020-03-31,"Bulgaria",2
2020-04-01,"Bulgaria",2
2020-04-02,"Bulgaria",2
2020-04-03,"Bulgaria",2
2020-04-04,"Bulgaria",2
2020-04-05,"Bulgaria",2
2020-04-06,"Bulgaria",2
2020-04-07,"Bulgaria",1
2020-04-08,"Bulgaria",1
2020-04-09,"Bulgaria",1
2020-04-10,"Bulgaria",1
2020-04-11,"Bulgaria",1
2020-04-12,"Bulgaria",1
2020-04-13,"Bulgaria",1
2020-04-14,"Bulgaria",1
2020-04-15,"Bulgaria",1
2020-04-16,"Bulgaria",1
2020-04-17,"Bulgaria",1
2020-04-18,"Bulgaria",1
2020-04-19,"Bulgaria",1
2020-04-20,"Bulgaria",1
2020-04-21,"Bulgaria",1
2020-04-22,"Bulgaria",1
2020-04-23,"Bulgaria",1
2020-04-24,"Bulgaria",1
2020-04-25,"Bulgaria",1
2020-04-26,"Bulgaria",1
2020-04-27,"Bulgaria",1
2020-04-28,"Bulgaria",1
2020-04-29,"Bulgaria",1
2020-04-30,"Bulgaria",1
2020-05-01,"Bulgaria",1
2020-05-02,"Bulgaria",1
2020-05-03,"Bulgaria",1
2020-05-04,"Bulgaria",1
2020-05-05,"Bulgaria",1
2020-05-06,"Bulgaria",1
2020-05-07,"Bulgaria",1
2020-05-08,"Bulgaria",1
2020-05-09,"Bulgaria",1
2020-05-10,"Bulgaria",1
2020-05-11,"Bulgaria",1
2020-05-12,"Bulgaria",1
2020-05-13,"Bulgaria",1
2020-05-14,"Bulgaria",1
2020-05-15,"Bulgaria",1
2020-05-16,"Bulgaria",1
2020-05-17,"Bulgaria",1
2020-05-18,"Bulgaria",1
2020-05-19,"Bulgaria",0
2020-05-20,"Bulgaria",0
2020-05-21,"Bulgaria",0
2020-05-22,"Bulgaria",0
2020-05-23,"Bulgaria",0
2020-05-24,"Bulgaria",0
2020-05-25,"Bulgaria",0
2020-05-26,"Bulgaria",0
2020-05-27,"Bulgaria",0
2020-05-28,"Bulgaria",0
2020-05-29,"Bulgaria",0
2020-05-30,"Bulgaria",0
2020-05-31,"Bulgaria",0
2020-02-15,"Chile",0
2020-02-16,"Chile",0
2020-02-17,"Chile",0
2020-02-18,"Chile",0
2020-02-19,"Chile",0
2020-02-20,"Chile",0
2020-02-21,"Chile",0
2020-02-22,"Chile",0
2020-02-23,"Chile",0
2020-02-24,"Chile",0
2020-02-25,"Chile",0
2020-02-26,"Chile",0
2020-02-27,"Chile",0
2020-02-28,"Chile",0
2020-02-29,"Chile",0
2020-03-01,"Chile",0
2020-03-02,"Chile",0
2020-03-03,"Chile",0
2020-03-04,"Chile",0
2020-03-05,"Chile",0
2020-03-06,"Chile",0
2020-03-07,"Chile",0
2020-03-08,"Chile",0
2020-03-09,"Chile",0
2020-03-10,"Chile",0
2020-03-11,"Chile",0
2020-03-12,"Chile",0
2020-03-13,"Chile",0
2020-03-14,"Chile",0
2020-03-15,"Chile",0
2020-03-16,"Chile",0
2020-03-17,"Chile",0
2020-03-18,"Chile",0
2020-03-19,"Chile",0
2020-03-20,"Chile",0
2020-03-21,"Chile",0
2020-03-22,"Chile",2
2020-03-23,"Chile",2
2020-03-24,"Chile",2
2020-03-25,"Chile",2
2020-03-26,"Chile",2
2020-03-27,"Chile",2
2020-03-28,"Chile",2
2020-03-29,"Chile",2
2020-03-30,"Chile",2
2020-03-31,"Chile",2
2020-04-01,"Chile",2
2020-04-02,"Chile",2
2020-04-03,"Chile",2
2020-04-04,"Chile",2
2020-04-05,"Chile",2
2020-04-06,"Chile",2
2020-04-07,"Chile",2
2020-04-08,"Chile",2
2020-04-09,"Chile",2
2020-04-10,"Chile",2
2020-04-11,"Chile",2
2020-04-12,"Chile",2
2020-04-13,"Chile",2
2020-04-14,"Chile",2
2020-04-15,"Chile",2
2020-04-16,"Chile",2
2020-04-17,"Chile",2
2020-04-18,"Chile",2
2020-04-19,"Chile",2
2020-04-20,"Chile",2
2020-04-21,"Chile",2
2020-04-22,"Chile",2
2020-04-23,"Chile",2
2020-04-24,"Chile",2
2020-04-25,"Chile",2
2020-04-26,"Chile",2
2020-04-27,"Chile",2
2020-04-28,"Chile",2
2020-04-29,"Chile",2
2020-04-30,"Chile",2
2020-05-01,"Chile",2
2020-05-02,"Chile",2
2020-05-03,"Chile",2
2020-05-04,"Chile",2
2020-05-05,"Chile",2
2020-05-06,"Chile",2
2020-05-07,"Chile",2
2020-05-08,"Chile",2
2020-05-09,"Chile",2
2020-05-10,"Chile",2
2020-05-11,"Chile",2
2020-05-12,"Chile",2
2020-05-13,"Chile",2
2020-05-14,"Chile",2
2020-05-15,"Chile",2
2020-05-16,"Chile",2
2020-05-17,"Chile",2
2020-05-18,"Chile",2
2020-05-19,"Chile",2
2020-05-20,"Chile",2
2020-05-21,"Chile",2
2020-05-22,"Chile",2
2020-05-23,"Chile",2
2020-05-24,"Chile",2
2020-05-25,"Chile",2
2020-05-26,"Chile",2
2020-05-27,"Chile",2
2020-05-28,"Chile",2
2020-05-29,"Chile",2
2020-05-30,"Chile",2
2020-05-31,"Chile",2
2020-02-15,"Croatia",0
2020-02-16,"Croatia",0
2020-02-17,"Croatia",0
2020-02-18,"Croatia",0
2020-02-19,"Croatia",0
2020-02-20,"Croatia",0
2020-02-21,"Croatia",0
2020-02-22,"Croatia",0
2020-02-23,"Croatia",0
2020-02-24,"Croatia",1
2020-02-25,"Croatia",1
2020-02-26,"Croatia",1
2020-02-27,"Croatia",1
2020-02-28,"Croatia",1
2020-02-29,"Croatia",1
2020-03-01,"Croatia",1
2020-03-02,"Croatia",1
2020-03-03,"Croatia",1
2020-03-04,"Croatia",1
2020-03-05,"Croatia",1
2020-03-06,"Croatia",1
2020-03-07,"Croatia",1
2020-03-08,"Croatia",1
2020-03-09,"Croatia",1
2020-03-10,"Croatia",1
2020-03-11,"Croatia",1
2020-03-12,"Croatia",1
2020-03-13,"Croatia",1
2020-03-14,"Croatia",1
2020-03-15,"Croatia",1
2020-03-16,"Croatia",2
2020-03-17,"Croatia",2
2020-03-18,"Croatia",2
2020-03-19,"Croatia",2
2020-03-20,"Croatia",2
2020-03-21,"Croatia",3
2020-03-22,"Croatia",3
2020-03-23,"Croatia",3
2020-03-24,"Croatia",3
2020-03-25,"Croatia",3
2020-03-26,"Croatia",3
2020-03-27,"Croatia",3
2020-03-28,"Croatia",3
2020-03-29,"Croatia",3
2020-03-30,"Croatia",3
2020-03-31,"Croatia",3
2020-04-01,"Croatia",3
2020-04-02,"Croatia",3
2020-04-03,"Croatia",3
2020-04-04,"Croatia",3
2020-04-05,"Croatia",3
2020-04-06,"Croatia",3
2020-04-07,"Croatia",3
2020-04-08,"Croatia",3
2020-04-09,"Croatia",3
2020-04-10,"Croatia",3
2020-04-11,"Croatia",3
2020-04-12,"Croatia",3
2020-04-13,"Croatia",3
2020-04-14,"Croatia",3
2020-04-15,"Croatia",3
2020-04-16,"Croatia",3
2020-04-17,"Croatia",3
2020-04-18,"Croatia",3
2020-04-19,"Croatia",3
2020-04-20,"Croatia",3
2020-04-21,"Croatia",3
2020-04-22,"Croatia",3
2020-04-23,"Croatia",3
2020-04-24,"Croatia",3
2020-04-25,"Croatia",3
2020-04-26,"Croatia",3
2020-04-27,"Croatia",2
2020-04-28,"Croatia",2
2020-04-29,"Croatia",2
2020-04-30,"Croatia",2
2020-05-01,"Croatia",2
2020-05-02,"Croatia",2
2020-05-03,"Croatia",2
2020-05-04,"Croatia",2
2020-05-05,"Croatia",2
2020-05-06,"Croatia",2
2020-05-07,"Croatia",2
2020-05-08,"Croatia",2
2020-05-09,"Croatia",2
2020-05-10,"Croatia",2
2020-05-11,"Croatia",1
2020-05-12,"Croatia",1
2020-05-13,"Croatia",1
2020-05-14,"Croatia",1
2020-05-15,"Croatia",1
2020-05-16,"Croatia",1
2020-05-17,"Croatia",1
2020-05-18,"Croatia",1
2020-05-19,"Croatia",1
2020-05-20,"Croatia",1
2020-05-21,"Croatia",1
2020-05-22,"Croatia",1
2020-05-23,"Croatia",1
2020-05-24,"Croatia",1
2020-05-25,"Croatia",1
2020-05-26,"Croatia",1
2020-05-27,"Croatia",1
2020-05-28,"Croatia",1
2020-05-29,"Croatia",1
2020-05-30,"Croatia",1
2020-05-31,"Croatia",1
2020-02-15,"Czech Republic",0
2020-02-16,"Czech Republic",0
2020-02-17,"Czech Republic",0
2020-02-18,"Czech Republic",0
2020-02-19,"Czech Republic",0
2020-02-20,"Czech Republic",0
2020-02-21,"Czech Republic",0
2020-02-22,"Czech Republic",0
2020-02-23,"Czech Republic",0
2020-02-24,"Czech Republic",0
2020-02-25,"Czech Republic",0
2020-02-26,"Czech Republic",0
2020-02-27,"Czech Republic",0
2020-02-28,"Czech Republic",0
2020-02-29,"Czech Republic",0
2020-03-01,"Czech Republic",0
2020-03-02,"Czech Republic",0
2020-03-03,"Czech Republic",1
2020-03-04,"Czech Republic",1
2020-03-05,"Czech Republic",1
2020-03-06,"Czech Republic",1
2020-03-07,"Czech Republic",1
2020-03-08,"Czech Republic",1
2020-03-09,"Czech Republic",1
2020-03-10,"Czech Republic",2
2020-03-11,"Czech Republic",2
2020-03-12,"Czech Republic",2
2020-03-13,"Czech Republic",2
2020-03-14,"Czech Republic",2
2020-03-15,"Czech Republic",2
2020-03-16,"Czech Republic",3
2020-03-17,"Czech Republic",3
2020-03-18,"Czech Republic",3
2020-03-19,"Czech Republic",3
2020-03-20,"Czech Republic",3
2020-03-21,"Czech Republic",3
2020-03-22,"Czech Republic",3
2020-03-23,"Czech Republic",3
2020-03-24,"Czech Republic",3
2020-03-25,"Czech Republic",3
2020-03-26,"Czech Republic",3
2020-03-27,"Czech Republic",3
2020-03-28,"Czech Republic",3
2020-03-29,"Czech Republic",3
2020-03-30,"Czech Republic",3
2020-03-31,"Czech Republic",3
2020-04-01,"Czech Republic",3
2020-04-02,"Czech Republic",3
2020-04-03,"Czech Republic",3
2020-04-04,"Czech Republic",3
2020-04-05,"Czech Republic",3
2020-04-06,"Czech Republic",3
2020-04-07,"Czech Republic",3
2020-04-08,"Czech Republic",3
2020-04-09,"Czech Republic",3
2020-04-10,"Czech Republic",3
2020-04-11,"Czech Republic",3
2020-04-12,"Czech Republic",3
2020-04-13,"Czech Republic",3
2020-04-14,"Czech Republic",3
2020-04-15,"Czech Republic",3
2020-04-16,"Czech Republic",3
2020-04-17,"Czech Republic",3
2020-04-18,"Czech Republic",3
2020-04-19,"Czech Republic",3
2020-04-20,"Czech Republic",2
